ID,Titre,Créateur,Type,Médium,Année,Année (numérique),Commentaire,Lien,Catégorie 1,Catégorie 2,Catégorie 3,Mots-clés,Émotion 1,Émotion 2,Émotion 3,Émotions,Durée / Dimension
PT-0091,Sécurité non garantie,Derek Connolly,Cinéma,,2012,20.0,"Ce film raconte l’histoire de deux journalistes, Darius et Jeff, qui enquêtent sur une annonce insolite : quelqu’un cherche un partenaire pour voyager dans le temps, en promettant de ne pas lui vouloir de mal. Ils recrutent l’Oh-God, un homme excentrique, pour participer à cette aventure. Au fil de leur exploration, ils découvrent que le demandeur est Kenneth, un homme qui affirme avoir construit une machine à voyager dans le temps dans le but de revoir un être cher. Cependant, ils réalisent que Kenneth cache des blessures profondes et que son désir de faire confiance au futur est autant une quête de rédemption qu’une recherche d’espoir. Le film mêle comédie, science-fiction et drame, portant un regard sensible sur la confiance, le passé et le courage d’avancer.",https://www.youtube.com/watch?v=73jSnAs7mq8,représentation du temps,temps et identité,,"voyage temporel, mémoire, souvenir, avenir",tristesse,joie,,"tristesse, joie",
PT-0092,Edge of Tomorrow,Doug Liman,Cinéma,,2014,20.0,"Ce film suit le lieutenant William Cage, qui se retrouve piégé dans une boucle temporelle lors d'une bataille contre des extraterrestres. Chaque fois qu'il meurt, le jour recommence, lui permettant d’apprendre de ses erreurs et de devenir un combattant plus efficace. Avec l’aide de la combattante Rita Vrataski, il cherche à briser la boucle pour détruire l’invasion extraterrestre. Ce processus lui donne une seconde chance pour changer le cours de la guerre et sauver l’humanité, tout en découvrant des vérités sur lui-même et la nature du temps.",https://www.youtube.com/watch?v=vw61gCe2oqI&t=41s,manipulations du temps,temps vécu,,"voyage temporel, mort, nature, mémoire, avenir",surprise,excitation,,"surprise, excitation",
PT-0093,Lucy,Luc Besson,Cinéma,,2014,20.0,"Lucy découvre que le temps est au centre de la vie en tant qu'unité de mesure (""le temps est la seule unité de mesure""); puis finit par remonter le temps jusqu'à rencontrer Lucie, ancêtre privilégiée de l'homme, et notre source métaphysique. Elle pose sur cette base lle propos final: ""la vie vous a été donnée il y a plusieurs millions d'années, maintenant vous savez quoi en faire"". ",https://www.youtube.com/watch?v=bN7ksFEVO9U,temps et identité,temps vécu,,"voyage temporel, vie, quantique, monde parallèle",confiance,sérénité,,"confiance, sérénité",
PT-0094,Interstellar,Christopher Nolan,Cinéma,,2014,20.0,"Cette production raconte l’histoire d’un futur où la Terre est en déclin, et l’humanité doit trouver une nouvelle planète habitable. Cooper, ancien pilote, part avec une équipe dans l’espace à travers un trou de ver pour explorer des mondes lointains. Leur voyage met à l’épreuve la relativité du temps, car le temps passe différemment pour eux. Cooper lutte pour sauver sa famille et l’humanité, tout en découvrant des vérités sur l’amour, le sacrifice et la survie. Le film explore la science, la relativité et les émotions humaines dans une odyssée spatiale intense.",https://www.youtube.com/watch?v=2LqzF5WauAw,manipulations du temps,temps vécu,,"voyage temporel, monde parallèle, mémoire, amour, enfance",nostalgie,sérénité,,"nostalgie, sérénité",
PT-0095,Prédestination,Michael et Peter Spierig,Cinéma,,2014,20.0,"Prédestination suit un agent temporel chargé d'empêcher des crimes avant qu'ils ne se produisent. Son dernier mission consiste à capturer un criminel insaisissable, mais il rencontre un mystérieux évadé, qui lui révèle une vérité surprenante sur son propre passé. À travers des voyages dans le temps, le film explore des thèmes comme l’identité, le destin et la boucle temporelle. La narration complexe et les rebondissements remettent en question la notion de libre arbitre, offrant une réflexion intense sur le temps, la fatalité et la paradoxie.",https://www.youtube.com/watch?v=xxG-YfedrfU,temps et identité,représentation du temps,,"voyage temporel, énigme",surprise,colère,,"surprise, colère",
PT-0096,X-Men: Days of Future Past,Bryan Singer,Cinéma,,2014,20.0,"Ce film mélange passé et futur pour sauver l’humanité. Dans un avenir dystopique, les mutants et les humains sont poursuivis par des robots appelés Sentinelles, presque exterminés. Pour changer le destin, Wolverine est envoyé dans le passé, en 1973, où il doit empêcher la création des Sentinelles en modifiant le passé, notamment en empêchant lamutation de Mystique à l’origine des Sentinelles. Cette opération risque de changer toute l’histoire des X-Men. Pendant ce voyage, il rejoint des jeunes versions d’anciens héros pour préserver leur avenir, mais le pari s’avère périlleux. Le film explore les thèmes du destin, du sacrifice et de la responsabilité quand le pouvoir de changer le passé peut tout chambouler.",https://www.youtube.com/watch?v=pK2zYHWDZKo,représentation du temps,expérience du temps,,"voyage temporel, mémoire, mort, histoire",peur,vigilance,,"peur, vigilance",
PT-0097,Your Name,SHINKAI Makoto,Cinéma,,2016,20.0,"Deux adolescents échangent leur corps sans en comprendre la raison. Or, il se trouve qu'il ne vive pas dans la même temporalité. L'un des deux comprendra que l'autre va mourir dans ce qui est le passé pour lui, et tentera de la sauver.",Your Name - Trailer [English Subtitled],temps vécu,temps et identité,,"voyage temporel, monde parallèle",,,,,
PT-0098,Le Dernier jour de ma vie,Ry Russo-Young,Cinéma,,2017,20.0,"Le Dernier jour de ma vie raconte l’histoire de Samantha, une adolescente qui revit chaque jour la même journée après sa mort accidentelle. En étant consciente qu’elle va mourir rapidement, elle cherche à changer le cours des événements pour sauver sa vie et découvrir la vérité sur ce qui lui est arrivé. À travers cette boucle temporelle, elle explore ses relations, ses regrets et sa quête de sens. Le film aborde des thèmes comme la réconciliation, le pardon et la recherche d’un avenir meilleur, offrant une réflexion poignante sur la vie et la mort.",https://www.youtube.com/watch?v=sBq5s69S6sQ,manipulations du temps,temps et identité,,"voyage temporel, mort, souvenir, vie, perdre",nostalgie,tristesse,,"nostalgie, tristesse",
PT-0099,Tenet,Christopher Nolan,Cinéma,,2020,20.0,"Tenet suit un agent secret, simplement nommé le Protagoniste, qui découvre une organisation clandestine et une technologie permettant d'inverser le flux du temps. Chargé d’empêcher une attaque mondiale, il doit manipuler des événements passés et futurs, tout en naviguant dans un monde où le temps peut s’écouler à l’envers. Avec l’aide d’un allié mystérieux, il doit déjouer un ennemi capable de manipuler le passé pour détruire l’avenir. Le film explore les thèmes du temps, du chaos et du libre arbitre, dans une intrigue complexe où chaque mouvement a des conséquences inverses.",https://www.youtube.com/watch?v=6UG5LJQNjts,manipulations du temps,représentation du temps,,"voyage temporel, monde parallèle, énigme",surprise,vigilance,,"surprise, vigilance",
PT-0100,The Call,Lee Chung-hyun,Cinéma,,2020,20.0,"The Call raconte l’histoire de Yoo-na, une jeune femme qui, via un téléphone fixe dans une vieille maison, découvre qu’elle peut communiquer avec une femme du passé, Young-sook, vivante 20 ans plus tôt. Au début, cette connexion semble innocente, mais rapidement, leur relation devient tendue, alors que Young-sook révèle ses plans pour commettre un crime violent. Yoo-na essaie de changer le passé pour empêcher le drame, mais chaque modification entraîne des conséquences imprévues, affectant leur vie et celle d’autres personnes. Le film mêle suspense, thriller et éléments de fantastique, explorant le thème du destin, des choix et de leur impact. Finalement, Yoo-na doit faire face à une vérité difficile pour protéger sa propre vie et celle de ses proches.",https://www.youtube.com/watch?v=hxkKeniT-0Q,représentation du temps,expérience du temps,,"voyage temporel, mort, énigme",peur,,,peur,
PT-0101,Les Métamorphoses,Ovide,Littérature,,1806.0,,"Chez Ovide, le temps est en mouvement constant, à l’image des transformations physiques qui donnent leur nom à l’œuvre. Tout change : les dieux, les hommes, la nature. Cela reflète une vision cyclique du monde, où rien ne reste fixe. Le poème lui-même suit un mouvement ondulatoire, fait de transformations successives qui s’enchaînent de manière fluide: il est pensé dans son rapport à la métamorphose. Ovide utilise une structure narrative en apparence chronologique (du chaos primordial à la divinisation d’Auguste), mais le temps narratif est en réalité éclaté, l'amenant à considérer un temps mythologique, dans lequel les histoires s’imbriquent les unes aux autres par enchâssement, comme dans un rêve ou une mémoire fragmentée.","Inspiré par mon génie, je vais chanter les êtres et les corps qui ont été revêtus de formes nouvelles, et qui ont subi des changements divers. Dieux, auteurs de ces métamorphoses, favorisez mes chants lorsqu'ils retraceront sans interruption la suite de tant de merveilles depuis les premiers âges du monde jusqu'à nos jours.
Avant la formation de la mer, de la terre, et du ciel qui les environne, la nature dans l'univers n'offrait qu'un seul aspect ; on l'appela chaos, masse grossière, informe, qui n'avait que de la pesanteur, sans action
et sans vie, mélange confus d'éléments qui se combattaient entre eux. Aucun soleil ne prêtait encore sa lumière au monde ; la lune ne faisait point briller son croissant argenté ; la terre n'était pas
suspendue, balancée par son poids, au milieu des airs ; l'océan, sans
rivages, n'embrassait pas les vastes flancs du globe. L'air, la terre, et
les eaux étaient confondus : la terre sans solidité, l'onde non fluide,
l'air privé de lumière. Les éléments étaient ennemis ; aucun d'eux
n'avait sa forme actuelle. Dans le même corps le froid combattait le
chaud, le sec attaquait l'humide ; les corps durs et ceux qui étaient
sans résistance, les corps les plus pesants et les corps les plus légers
se heurtaient, sans cesse opposés et contraires.",temps vécu,expérience du temps,,"histoire, vie, nature, mémoire",sérénité,,,sérénité,
PT-0102,Les Travaux et les Jours,Hésiode,Littérature,,1814.0,,"Le temps est ici pensé dans son cadre moral, cyclique et agricole, en s'inscrivant dans la vie des hommes, dans le labeur et dans la justice divine. D'un côté, Hésiode présente une conception historico-morale du temps à travers le mythe des cinq âges de l’humanité. Pour lui, le temps possède une valeur déclinante, allant de paire avec une chute morale: tour à tour ont lieu : l’Âge d’or : temps d’abondance et de paix dans lequel les hommes vivaient comme des dieux; l'Âge d’argent : longue enfance, puis déclin moral durant lequel les hommes ne respectent plus les dieux; l’Âge de bronze : violent, guerrier où les hommes s’autodétruisent; l’Âge des héros : intermède valorisé (Hésiode y place les héros de la guerre de Troie); l’Âge de fer: époque actuelle, marquée par la souffrance, le travail et l’injustice. D'un autre côté, Hésiode traite d'un temps cyclique reposant sur les astres et les saisons. Le temps devient ici guide pratique pour l’homme paysan. Il doit être observé et respecté. En outre, le bon usage du temps est lié à la justice. Ceux qui travaillent à la bonne saison, qui respectent les dieux et les lois de la nature prospèrent. Les injustes, eux, sont punis.


","Observe chaque année le temps où tu entendras les cris de la grue retentir du haut des nuages; c'est elle qui apporte le signal du labour et qui annonce le retour du pluvieux hiver. L'homme qui manque de boeufs sent alors les regrets déchirer son âme. Nourris dans ton étable des boeufs aux longues cornes. II est aisé de dire : Prête-moi des boeufs et un chariot ; mais il est aisé de répondre : Mes boeufs sont occupés. L'homme riche en imagination parle de construire un chariot ; l'insensé ! il ignore que pour un chariot il faut cent pièces de bois, il aurait dû y songer plus tôt et se munir des matériaux nécessaires. Dés que le temps du labourage arrive pour les mortels, hâte-toi, pars le matin avec tes esclaves, travaille dans la saison le sol humide et sec pour rendre tes champs fertiles, défriche la terre dans le printemps, laboure-la encore pendant l'été ; elle ne trompera point ton espérance ; quand elle est devenue légère, c'est le temps de l'ensemencer. Ainsi travaillée, elle fournit les moyens d'écarter les imprécations et de procurer du repos aux enfants. Invoque le Jupiter infernal et demande à la chaste Cérès de faire parvenir ses divins présents à leur maturité. Lorsque, commençant le labour et prenant dans ta main l'extrémité du manche, tu frappes de l'aiguillon le dos de tes boeufs qui traînent le timon à l'aide des courroies, qu'un jeune serviteur te suive armé d'un hoyau et donne du mal aux oiseaux en recouvrant la semence. L'ordre est pour les mortels le plus grand des biens, le désordre le plus grand des maux.",nature du temps,expérience du temps,,"mémoire, histoire, politique, générations, nature",vigilance,confiance,,"vigilance, confiance",
PT-0103,René,Chateaubriand,Littérature,,1828.0,,"Dans René, le temps est traité dans ses rapports à la mélancolie. René est obsédé par la fuite du temps. Il se sent étranger à son époque, incapable de s’insérer dans le monde moderne. Ce sentiment d’inadéquation produit tant une nostalgie du passé (notamment de l’enfance), une angoisse du futur incertain, qu'un rejet du présent, jugé fade et dénué de sens. Le temps est aussi traité dans ses rapports à la nature, ce qui introduit une perception du temps différente, en contraste avec le temps linéaire et tragique de l’existence humaine : un temps cyclique, fait de saisons, de renaissance et de mort. René contemple souvent la nature pour y chercher un sens, mais cette harmonie naturelle accentue parfois sa propre solitude.","René avait les yeux attachés sur un groupe d’Indiens qui passaient gaiement dans la plaine. Tout à coup sa physionomie s’attendrit, des larmes coulent de ses yeux ; il s’écrie :
Heureux sauvages ! oh ! que ne puis-je jouir de la paix qui vous accompagne toujours ! Tandis qu’avec si peu de fruit je parcourais tant de contrées, vous, assis tranquillement sous vos chênes, vous laissiez couler les jours sans les compter. (...) Je me trouvai bientôt plus isolé dans ma patrie que je ne l’avais été sur une terre étrangère. Je voulus me jeter pendant quelque temps dans un monde qui ne me disait rien et qui ne m’entendait pas. Mon âme, qu’aucune passion n’avait encore usée, cherchait un objet qui pût l’attacher ; mais je m’aperçus que je donnais plus que je ne recevais. Ce n’était ni un langage élevé ni un sentiment profond qu’on demandait de moi. Je n’étais occupé qu’à rapetisser ma vie, pour la mettre au niveau de la société. Traité partout d’esprit romanesque, honteux du rôle que je jouais, dégoûté de plus en plus des choses et des hommes, je pris le parti de me retirer dans un faubourg pour y vivre totalement ignoré.
Je trouvai d’abord assez de plaisir dans cette vie obscure et indépendante. Inconnu, je me mêlais à la foule : vaste désert d’hommes !",expérience du temps,temps et sacré,,"mort, vie, éternité, enfance",tristesse,ennui,,"tristesse, ennui",
PT-0104,Maître Zacharius où l’horloger qui avait perdu son âme,Jules Verne,Littérature,,1854.0,,"Ce récit raconte l'histoire d'un horloger renommé, Maître Zacharius, obsédé par la précision de ses horloges. Sa confiance en la machine le pousse à négliger ses sentiments. Un jour, sa montre se dérègle, symbolisant son arrogance et sa perte. La magie et la peur s'emparent de lui, menant à sa transformation en statue. L'histoire évoque l'humilité face à la nature et la fragilité de la condition humaine.","Ne comprends-tu donc pas qu’il y a deux forces distinctes en nous : celle de l’âme et celle du corps, c’est-à-dire un mouvement et un régulateur ? L’âme est le principe de la vie : donc c’est le mouvement. Qu’il soit produit par un poids, par un ressort ou par une influence immatérielle, il n’en est pas moins au cœur. Mais, sans le corps, ce mouvement serait inégal, irrégulier, impossible ! Aussi le corps vient-il régler l’âme, et, comme le balancier, est-il soumis à des oscillations régulières.",représentation du temps,nature du temps,,"comptage, perdre, mort, personnification, fuite",admiration,peur,,"admiration, peur",
PT-0105,Le Fils de Satan,Victor Hugo,Littérature,,1886.0,,"Dans Le Fils de Satan, le temps joue un rôle symbolique et allégorique très important. Le temps y est souvent associé à la déchéance de Lucifer (ou Satan), mais aussi à la marche inexorable de l’histoire et du destin humain. Le fils de Satan est une figure ambiguë, à mi-chemin entre la rédemption et la perdition, et le temps devient une sorte de théâtre cosmique où s'affrontent le bien et le mal, la lumière et l’ombre. Un temps double se trouve alors présenté dans ce texte: le temps humain, marqué par la douleur, la guerre, la souffrance; et le temps divin ou cosmique, où se joue le salut ou la damnation. Le Fils de Satan incarne un être en marge de ces deux temps, tiraillé entre sa filiation infernale et un possible élan vers la lumière.","Dans ce lieu morne,
La minute est bourreau, l’heure est épouvantail.

Une horloge apparaît. Au-dessus du portail.
Autour du cadran triste, une chaîne est sculptée,
Cercle affreux, chaîne énorme à lier Prométhée ;
Elle entoure le temps, et, monstrueuse à voir,
Saisit par ses deux bouts, au bas du fronton noir,
Une statue étrange et morne, prisonnière
Qui grince et fait effort pour sortir de la pierre ;
La statue a deux fronts, l’un jeune et l’autre vieux ;
Sur le cadran, rouillé par l’hiver pluvieux,
L’aiguille, résumant dans une heure une vie,
Par la chaîne toujours à tous ses pas suivie,
Part du jeune homme et vient aboutir au vieillard.
Lugubre, elle paraît marcher sous un brouillard ;
On croit voir l’affreux doigt de la bastille sombre
Montrant ce qu’elle fait du prisonnier dans l’ombre,
Et disant - C’est ici que les pas sont tremblants,
Et que les cheveux noirs deviennent cheveux blancs.",expérience du temps,temps et sacré,,"vie, mort, compte à rebours, perdu, avenir",tristesse,colère,,"tristesse, colère",
PT-0106,Le Futur antérieur,Edward Bellamy,Littérature,,1888.0,,"Looking Backward raconte l'histoire de Julian West, qui s'endort en 1887 et se réveille en 2000, dans une société utopique, sans pauvreté ni guerre. La ville est organisée autour de la coopération et de l'égalité. Julian découvre un monde où la technologie a éliminé les inégalités, mais il doit s'adapter à cette société nouvelle. Le roman explore une vision d’un avenir idéal, basé sur la justice sociale, la paix et la solidarité.","— Hé ! Pour l´amour de Dieu ! S´écria le docteur, qui donc est l´ennemi public ? Est-ce la France, l´Angleterre, l´Allemagne, ou bien la faim, le froid et le dénuement ? De votre temps, les gouvernements n´hésitaient pas, pour le moindre malentendu international, à mettre la main sur des centaines de milliers de citoyens, à les livrer à la mort et à la mutilation, gaspillant leurs trésors comme de l´eau claire, et cela le plus souvent sans aucun bénéfice imaginable pour les victimes. Maintenant, nous n´avons plus de guerres et nos gouvernements n´ont plus d´armées ; mais, pour protéger chaque citoyen contre la misère, le dénuement, et pourvoir à ses besoins physiques et intellectuels, État se charge de diriger son travail pendant un nombre d´années déterminé. Non, monsieur West, je suis certain qu´après avoir réfléchi, vous comprendrez que c´était de votre temps, et non du nôtre, que les fonctions gouvernementales avaient pris une extension exorbitante.",manipulations du temps,expérience du temps,,"rêve, voyage temporel, avenir, politique, voyage",confiance,admiration,,"confiance, admiration",
PT-0107,La Machine à explorer le temps,H. G. Wells,Littérature,,1895.0,,"La Terre en l'an 802.701 avait pourtant toutes les apparences d'un paradis. Les apparences seulement. Car derrière ces jardins magnifiques, ces bosquets somptueux, cet éternel été où les hommes devenus oisifs n'ont à se préoccuper de rien, se cache un horrible secret. Ainsi témoigne l'explorateur du temps face à des auditeurs incrédules. Depuis la conception de son incroyable machine jusqu'à son voyage au bout de l'Histoire, là où l'humanité s'est scindée en deux. D'un côté les Éloïms, qui vivent en surface, petits êtres gracieux, doux et décérébrés. De l'autre les terribles Morlocks qui ont fui la lumière pour s'enterrer dans un gigantesque et inhospitalier monde souterrain. Un monde où l'Explorateur du Temps devra s'aventurer s'il souhaite répondre à ses questions, et surtout revenir à son époque.","Je respirai, serrai les dents, empoignai des deux mains le levier de mise en train et partis d’un seul coup. Le laboratoire devint brumeux, puis sombre. La servante entra, et se dirigea, sans paraître me voir, vers la porte donnant sur le jardin. Je suppose qu’il lui fallut une minute ou deux pour traverser la pièce, mais il me sembla qu’elle était lancée d’une porte à l’autre comme une fusée. J’appuyai sur le levier jusqu’à sa position extrême. La nuit vint comme on éteint une lampe ; et un moment après, demain était là. Le laboratoire devint confus et brumeux, et à chaque moment de plus en plus confus. Demain soir arriva tout obscur, puis le jour encore, puis une nuit, puis des jours et des nuits de plus en plus précipités ! Un murmure vertigineux emplissait mes oreilles, une mystérieuse confusion descendait sur mon esprit.",représentation du temps,expérience du temps,,"voyage temporel, nature, politique, histoire, avenir",confiance,tristesse,,"confiance, tristesse",
PT-0108,L'Éternel Adam,Jules Verne,Littérature,,1910.0,19.0,"Cette nouvelle raconte l'histoire d'un scientifique, le professeur Vesant, qui rêve de créer un homme parfait. Il rêve d'un « Adam » immortel, au corps parfait, qu'il veut ériger en modèle de l'humanité. Cependant, ses expériences soulèvent des questions sur la nature humaine, la vie éternelle et les limites de la science. Le roman mêle science, philosophie et une vision visionnaire des avancées médicales futures, en questionnant les ambitions de l'homme.","Par ce récit d’outre-tombe, il imaginait le drame terrible qui se déroule perpétuellement dans l’univers, et son cœur était plein de pitié. Tout saignant des maux innombrables dont ce qui vécut avait souffert avant lui, pliant sous le poids de ces vains efforts accumulés dans l’infini des temps, le zartog Sofr-Aï-Sr acquérait, lentement, douloureusement, l’intime conviction de l’éternel recommencement des choses.",nature du temps,temps et sacré,,"mémoire, mort, éternité, fuite, attente",tristesse,confiance,,"tristesse, confiance",
PT-0109,Filibuth ou la montre en or,Max Jacob,Littérature,,1922.0,19.0,"Est racontée ici l'histoire d'une montre en or. Personnage central du récit, cette montre, achetée chez Breguet en 1840, passe de main en main durant un siècle, et voit graviter une myriade de personnages: elle se place tour à tour au poignet d'une concierge, d'un adolescent, d'un peintre, d'un juge d’instruction. Elle sera tant liée à un réseau d’espionnage austro‑français qu'à des séances d'hypnose à Venise; et voyagera tant en France, en Italie qu'au Japon. Oscillant entre conte et satire, cette course à la montre explore la vie de personnages fantasques qui manipulent l'horloge bien différemment, et propose ainsi une critique sociale virulente. ","L'or du temps a cinq fois plus de valeur aujourd'hui. Et bien ma belle-soeur dilapide la montre. (...) Elle engage la montre au Mont-de-Piété, elle la vendra au-dessous de sa valeur réelle pour satisfaire ses vices. ",représentation du temps,temps et identité,,"mémoire, comptage, voyage",excitation,dégoût,,"excitation, dégoût",
PT-0110,Souvenirs du futur,Sigismund Krzyzanowski,Littérature,,1929.0,19.0,"On pourrait présenter cette oeuvre comme un récit de science-fiction dans la grande tradition de la Machine à explorer le temps. En effet, Souvenirs du futur est le titre du livre que Maximilien Sterrer, le héros, est censé écrire suite à son voyage expérimental à bord d'un "" coupe-temps "" qui l'a amené jusqu'en 1957 mais qui, au retour, a raté sa cible et l'a déposé en 1928. Pour dire la folie du monde soviétique de ces années-là, il faut avoir recours au fantastique. Seul le fantastique peut rendre compte des disparitions subites d'hommes ou de bien des transformations inexpliquées d'un avoué en va-nu-pieds puis en profiteur prospère, et autres diableries. Ce livre est aussi un voyage initiatique où le héros cherche à vaincre le temps. Dans ce combat inégal, sa solitude est absolue: personne ne croit à ses visions sauf ceux qui sont impuissants à changer l'avenir. Mais si les créateurs - poètes et savants - disparaissent dans les purges ou les camps, leurs écrits sont recueillis, cachés, sauvés par ceux qui se font ""les gardiens des mots"".","Le mot ""guerre"", d'abord petites lettres dans les journaux, augmenta progressivement de taille et s'étala partout en gros titres. Ce mot retint le regard de Sterer pendant deux ou trois secondes, uniquement parce qu'en russe les mots ""guerre"" et ""temps"" commencent par la même lettre et ont la même longueur. Les cinq signes glissèrent sur sa rétine et disparurent comme ils étaient venus, et le constructeur continua quelques jours encore à matérialiser le piège infiniment subtil qu'il avait inventé pour capturer le temps.",représentation du temps,temps et sacré,,"personnification, voyage, voyage temporel, pouvoir, éternité",colère,vigilance,,"colère, vigilance",
PT-0111,Le Voyageur imprudent,René Barjavel,Littérature,,1949.0,19.0,"Le Voyageur imprudent raconte l'histoire d'un scientifique, Léonard, qui invente un voyage dans le temps. Il décide de tester sa machine en retournant à la Rome antique, mais il modifie accidentellement le passé, provoquant un déchaînement de paradoxes. Son voyage met en danger la stabilité du présent. Le roman explore les risques de manipulation du temps et les conséquences imprévisibles de nos actions sur le futur.","Comprenez-vous maintenant l'intérêt de ma découverte ? Arrivé à quarante ans, vous décidez de recommencer votre vie. Vous retournez à votre adolescence. Vous vous lancez avec un corps tout neuf dans une nouvelle existence. Vous évitez les malheurs qui vous ont frappé dans votre premier temps, vous saisissez les bonheurs qui vous ont évité. Vous recommencez cent fois, mille fois. Vous possédez toutes les sciences du monde, parlez toutes les langues, vous avez aimé toutes les femmes, tutoyé tous vos contemporains. Vous avez tout vu, tout entendu, tout connu. Vous êtes Dieu...",nature du temps,temps vécu,,"voyage temporel, générations, nature, voyage, mort",surprise,peur,,"surprise, peur",
PT-0112,Le rivage des Syrtes,Julien Gracq,Littérature,,1951.0,19.0,"Elément central du Rivage des Syrtes, le temps gracquien a pour particularité d'être suspendu dans l'attente d'un événement potentiellement réalisable. Le temps s'y écoule avec lenteur, immoblité et génère une forme d'""ennui"": construit autour de l'attente d'une menace, voire d'un conflit, entre le Farghestan et une Segneurie, l'attente construit une atmosphère pesante, générant une tension constante. Le temps semble parfois s'arrêter, s'immobiliser, et laisser place au vide. Le personnage d'Aldo transgresse toutefois les codes de la Seigneurie d'Orsenna en cherchant à briser cette immobilité, à résoudre cette tension sourde et à affronter la réalité du conflit. Pour soutenir cette quête suspendue, plusieurs mythes anciens sont évoqués, tout comme certains événements historiques. ","Je rivais mes yeux à cette mer vide, où chaque vague, en glissant sans bruit comme une langue, semblait s'obstiner encore à creuser encore l'absence de toute trace, dans le geste toujours inachevé de l'effacement pur. J'attendais un signal qui puiserait dans l'attente démesurée la confirmation d'un prodige. Je rêvais d'une voile naissant du vide de la mer. Je cherchais un nom à cette voile démesurée. Peut-être l'avais-je déjà trouvé. ",temps et rêve,nature du temps,,"vie, mort, pouvoir, attente, illusion",tristesse,ennui,,"tristesse, ennui",
PT-0113,Autant en emporte le temps,Ward Moore,Littérature,,1953.0,19.0,"L'Amérique en 1938. Le Sud, où les Noirs sont toujours esclaves, est prospère. Il impose une dure tutelle aux États du Nord, où végète une population famélique. Au-dehors, la France de Napoléon IV, l'Espagne de Sa Majesté Très Catholique et l'Empire germanique règnent sur l'Europe. Pourquoi ? Parce qu'en 1863, ce sont les Sudistes qui ont remporté la guerre de Sécession. Mais un équipe de scientifiques met au point une machine qui permet de voyager dans le temps et un jeune historien va se promener du côté de Gettysburg, lieu de la bataille qui a changé le cours de la guerre, pour y vérifier un point d'histoire. Or l'histoire tient à peu de chose...",,représentation du temps,manipulations du temps,,"voyage temporel, politique, histoire, monde parallèle, mémoire",vigilance,nostalgie,,"vigilance, nostalgie",
PT-0114,La Patrouille du temps,Poul Anderson,Littérature,,1955.0,19.0,"La Patrouille du temps suit un groupe de voyageurs temporels qui patrouillent pour empêcher les abus dans le passé, protégeant ainsi la ligne temporelle. Lors d'une mission, ils découvrent un complot visant à modifier l'histoire majeure, menaçant la stabilité de leur époque. Le roman explore les paradoxes temporels, la responsabilité des voyageurs et les enjeux éthiques liés aux interventions dans le passé.","Le vétéran grisonnant qui lui apprit à manœuvrer plusieurs vaisseaux spatiaux avait combattu sur Mars en 3890. Vous autres, vous pigez rapidement, dit-il, mais c'est l'enfer d'instruire ceux des ères préindustrielles. On n'essaie même plus de leur inculquer les premiers rudiments. J'ai eu un Romain de l'époque de César, un garçon assez brillant, d'ailleurs, qui n'a jamais pu se fourrer dans le crâne qu'on ne traite pas une machine comme un cheval. Quant aux Babyloniens, le voyage dans le temps échappait tout simplement à leur conception du monde. On a dû leur fourguer une histoire de bataille des dieux.",temps et identité,temps et espace,,"voyage temporel, voyage, politique, avenir, pouvoir",vigilance,ennui,,"vigilance, ennui",
PT-0115,Un cantique pour Leibowitz,Walter Michael Miller Jr.,Littérature,,1959.0,19.0,"Un cantique pour Leibowitz est un roman post-apocalyptique qui explore la lutte pour préserver la connaissance après une guerre nucléaire mondiale. L’histoire suit une fraternité de moines monks dans un futur lointain, dévoués à sauvegarder le patrimoine scientifique et historique de l’humanité. Au fil des siècles, la civilisation renaît lentement, mais la méfiance envers la technologie et la religion pose des défis. Le roman interroge la cyclicité de l’histoire, la foi, la science et la survie de la culture face à la destructions.","Plus les hommes approchaient de l'achèvement de leur paradis, plus ce paradis terrestre les impatientait. Et c'est d'eux-mêmes qu'ils finissaient par s'impatienter. Ils se construisaient un jardin de délices et devenaient de plus en plus malheureux au fur et à mesure que croissaient sa richesse, sa puissance et sa beauté. Car il leur devenait alors plus facile de s'apercevoir qu'il manquait quelque chose dans ce jardin. Un arbre, un buisson qui ne voulait pas y pousser. Un monde plongé dans la misère et l'obscurité pouvait croire à la perfection, et la désirer ardemment. Mais un monde étincelant de raison et de richesses commençait à se percevoir exigu comme le chas d'une aiguille, et victime de cet ulcère dévorant il finissait par ne plus vouloir croire ou ardemment désirer. Et voilà… Ils allaient de nouveau détruire le jardin terrestre, civilisé, savant ; il allait être déchiré une fois de plus pour que l'homme pût à nouveau espérer au sein de la misère et de l'obscurité.",temps vécu,temps et sacré,,"mémoire, éternité, nature, générations, illusion",surprise,ennui,,"surprise, ennui",
